dataset,filename,date,year,month,data_var,units,domain_mean,domain_min,domain_max
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2000-2000__m01__NH0_90__grid_1p0.grib,2000-01,2000,1,tp,m,0.0024927038853153846,0.0,0.02371978759765625
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2000-2000__m02__NH0_90__grid_1p0.grib,2000-02,2000,2,tp,m,0.0021711148014433,0.0,0.031699180603027344
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2000-2000__m03__NH0_90__grid_1p0.grib,2000-03,2000,3,tp,m,0.0021286808902642664,0.0,0.0341339111328125
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2000-2000__m04__NH0_90__grid_1p0.grib,2000-04,2000,4,tp,m,0.0024002318442069254,0.0,0.036174774169921875
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2000-2000__m05__NH0_90__grid_1p0.grib,2000-05,2000,5,tp,m,0.0029651706420408537,0.0,0.054584503173828125
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2000-2000__m06__NH0_90__grid_1p0.grib,2000-06,2000,6,tp,m,0.0033290221691374975,0.0,0.06798171997070312
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2000-2000__m07__NH0_90__grid_1p0.grib,2000-07,2000,7,tp,m,0.0035297189422116935,0.0,0.06865692138671875
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2000-2000__m08__NH0_90__grid_1p0.grib,2000-08,2000,8,tp,m,0.0036932284698605977,0.0,0.06926345825195312
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2000-2000__m09__NH0_90__grid_1p0.grib,2000-09,2000,9,tp,m,0.003626856855342184,0.0,0.07497978210449219
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2000-2000__m10__NH0_90__grid_1p0.grib,2000-10,2000,10,tp,m,0.003538914669261626,0.0,0.07037734985351562
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2000-2000__m11__NH0_90__grid_1p0.grib,2000-11,2000,11,tp,m,0.0031178827310308723,0.0,0.041568756103515625
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2000-2000__m12__NH0_90__grid_1p0.grib,2000-12,2000,12,tp,m,0.002781108221230959,0.0,0.03697013854980469
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2001-2001__m01__NH0_90__grid_1p0.grib,2001-01,2001,1,tp,m,0.002550772039906419,0.0,0.05340385437011719
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2001-2001__m02__NH0_90__grid_1p0.grib,2001-02,2001,2,tp,m,0.002177434779762247,0.0,0.0261383056640625
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2001-2001__m03__NH0_90__grid_1p0.grib,2001-03,2001,3,tp,m,0.0022277082743071695,0.0,0.043628692626953125
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2001-2001__m04__NH0_90__grid_1p0.grib,2001-04,2001,4,tp,m,0.002414340943317373,0.0,0.04361724853515625
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2001-2001__m05__NH0_90__grid_1p0.grib,2001-05,2001,5,tp,m,0.0029772449784190597,0.0,0.05731773376464844
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2001-2001__m06__NH0_90__grid_1p0.grib,2001-06,2001,6,tp,m,0.003279734455056582,0.0,0.05004119873046875
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2001-2001__m07__NH0_90__grid_1p0.grib,2001-07,2001,7,tp,m,0.003608481220952049,0.0,0.06972312927246094
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2001-2001__m08__NH0_90__grid_1p0.grib,2001-08,2001,8,tp,m,0.003818540420519716,0.0,0.048267364501953125
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2001-2001__m09__NH0_90__grid_1p0.grib,2001-09,2001,9,tp,m,0.0035583947498572643,0.0,0.10013961791992188
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2001-2001__m10__NH0_90__grid_1p0.grib,2001-10,2001,10,tp,m,0.003447793733234262,0.0,0.04895210266113281
tp,cds__era5_sl_monthly__ERA5__reanalysis__tp__surface__monthly__2001-2001__m11__NH0_90__grid_1p0.grib,2001-11,2001,11,tp,m,0.003245578239405462,0.0,0.06552505493164062
