checked_at_utc,block,years,variable,level_label,start_month,path,grib_exists,request_json_exists,sha256_exists,checksum_passed,eccodes_open_passed,shortName,typeOfLevel,level,dataDate,dataTime,stepRange,numberOfPoints,Ni,Nj,metadata_check_passed,error,passed
2026-05-04T16:39:10Z,hindcast,2000-2016,z500,500hPa,01,/mnt/e/last-aticol/data/raw/c3s/seasonal/monthly-pressure-levels/ecmwf/system_51/hindcast_2000_2016/z500/cds__c3s_seasonal__monthly-pressure-levels__ecmwf__s51__z500__500hPa__monthly_mean__2000-2016__st01__lead1-6__NH0_90.grib,True,True,True,True,True,z,isobaricInhPa,500,20000101,0,744,32400,360,90,True,,True
2026-05-04T16:39:12Z,hindcast,2000-2016,z500,500hPa,12,/mnt/e/last-aticol/data/raw/c3s/seasonal/monthly-pressure-levels/ecmwf/system_51/hindcast_2000_2016/z500/cds__c3s_seasonal__monthly-pressure-levels__ecmwf__s51__z500__500hPa__monthly_mean__2000-2016__st12__lead1-6__NH0_90.grib,True,True,True,True,True,z,isobaricInhPa,500,20001201,0,744,32400,360,90,True,,True
2026-05-04T16:39:15Z,hindcast,2000-2016,t850,850hPa,01,/mnt/e/last-aticol/data/raw/c3s/seasonal/monthly-pressure-levels/ecmwf/system_51/hindcast_2000_2016/t850/cds__c3s_seasonal__monthly-pressure-levels__ecmwf__s51__t850__850hPa__monthly_mean__2000-2016__st01__lead1-6__NH0_90.grib,True,True,True,True,True,t,isobaricInhPa,850,20000101,0,744,32400,360,90,True,,True
2026-05-04T16:39:19Z,hindcast,2000-2016,t850,850hPa,12,/mnt/e/last-aticol/data/raw/c3s/seasonal/monthly-pressure-levels/ecmwf/system_51/hindcast_2000_2016/t850/cds__c3s_seasonal__monthly-pressure-levels__ecmwf__s51__t850__850hPa__monthly_mean__2000-2016__st12__lead1-6__NH0_90.grib,True,True,True,True,True,t,isobaricInhPa,850,20001201,0,744,32400,360,90,True,,True
2026-05-04T16:39:22Z,hindcast,2000-2016,z925,925hPa,01,/mnt/e/last-aticol/data/raw/c3s/seasonal/monthly-pressure-levels/ecmwf/system_51/hindcast_2000_2016/z925/cds__c3s_seasonal__monthly-pressure-levels__ecmwf__s51__z925__925hPa__monthly_mean__2000-2016__st01__lead1-6__NH0_90.grib,True,True,True,True,True,z,isobaricInhPa,925,20000101,0,744,32400,360,90,True,,True
2026-05-04T16:39:25Z,hindcast,2000-2016,z925,925hPa,12,/mnt/e/last-aticol/data/raw/c3s/seasonal/monthly-pressure-levels/ecmwf/system_51/hindcast_2000_2016/z925/cds__c3s_seasonal__monthly-pressure-levels__ecmwf__s51__z925__925hPa__monthly_mean__2000-2016__st12__lead1-6__NH0_90.grib,True,True,True,True,True,z,isobaricInhPa,925,20001201,0,744,32400,360,90,True,,True
2026-05-04T16:39:28Z,forecast,2017-2025,z500,500hPa,01,/mnt/e/last-aticol/data/raw/c3s/seasonal/monthly-pressure-levels/ecmwf/system_51/forecast_2017_2025/z500/cds__c3s_seasonal__monthly-pressure-levels__ecmwf__s51__z500__500hPa__monthly_mean__2017-2025__st01__lead1-6__NH0_90.grib,True,True,True,True,True,z,isobaricInhPa,500,20170101,0,744,32400,360,90,True,,True
2026-05-04T16:39:31Z,forecast,2017-2025,z500,500hPa,12,/mnt/e/last-aticol/data/raw/c3s/seasonal/monthly-pressure-levels/ecmwf/system_51/forecast_2017_2025/z500/cds__c3s_seasonal__monthly-pressure-levels__ecmwf__s51__z500__500hPa__monthly_mean__2017-2025__st12__lead1-6__NH0_90.grib,True,True,True,True,True,z,isobaricInhPa,500,20171201,0,744,32400,360,90,True,,True
2026-05-04T16:39:35Z,forecast,2017-2025,t850,850hPa,01,/mnt/e/last-aticol/data/raw/c3s/seasonal/monthly-pressure-levels/ecmwf/system_51/forecast_2017_2025/t850/cds__c3s_seasonal__monthly-pressure-levels__ecmwf__s51__t850__850hPa__monthly_mean__2017-2025__st01__lead1-6__NH0_90.grib,True,True,True,True,True,t,isobaricInhPa,850,20170101,0,744,32400,360,90,True,,True
2026-05-04T16:39:38Z,forecast,2017-2025,t850,850hPa,12,/mnt/e/last-aticol/data/raw/c3s/seasonal/monthly-pressure-levels/ecmwf/system_51/forecast_2017_2025/t850/cds__c3s_seasonal__monthly-pressure-levels__ecmwf__s51__t850__850hPa__monthly_mean__2017-2025__st12__lead1-6__NH0_90.grib,True,True,True,True,True,t,isobaricInhPa,850,20171201,0,744,32400,360,90,True,,True
2026-05-04T16:39:42Z,forecast,2017-2025,z925,925hPa,01,/mnt/e/last-aticol/data/raw/c3s/seasonal/monthly-pressure-levels/ecmwf/system_51/forecast_2017_2025/z925/cds__c3s_seasonal__monthly-pressure-levels__ecmwf__s51__z925__925hPa__monthly_mean__2017-2025__st01__lead1-6__NH0_90.grib,True,True,True,True,True,z,isobaricInhPa,925,20170101,0,744,32400,360,90,True,,True
2026-05-04T16:39:45Z,forecast,2017-2025,z925,925hPa,12,/mnt/e/last-aticol/data/raw/c3s/seasonal/monthly-pressure-levels/ecmwf/system_51/forecast_2017_2025/z925/cds__c3s_seasonal__monthly-pressure-levels__ecmwf__s51__z925__925hPa__monthly_mean__2017-2025__st12__lead1-6__NH0_90.grib,True,True,True,True,True,z,isobaricInhPa,925,20171201,0,744,32400,360,90,True,,True
